PESTICID,TIME,GEO,UNIT,Value,Flag and Footnotes
"Herbicides, haulm destructors and moss killers",2014,France,Kilogram,"31,034,696",
Fungicides and bactericides,2011,Spain,Kilogram,"31,343,389",d
Fungicides and bactericides,2018,Italy,Kilogram,"31,538,590",
Fungicides and bactericides,2016,France,Kilogram,"31,971,200",
Fungicides and bactericides,2013,Spain,Kilogram,"32,393,012",d
Fungicides and bactericides,2017,Italy,Kilogram,"32,686,887",
Fungicides and bactericides,2013,Italy,Kilogram,"33,302,885",
Fungicides and bactericides,2019,Spain,Kilogram,"34,073,450",
"Herbicides, haulm destructors and moss killers",2018,France,Kilogram,"34,392,257",
Fungicides and bactericides,2014,France,Kilogram,"34,441,873",
Fungicides and bactericides,2015,Spain,Kilogram,"36,423,289",d
Fungicides and bactericides,2016,Italy,Kilogram,"36,851,936",
Fungicides and bactericides,2014,Italy,Kilogram,"37,226,295",
Fungicides and bactericides,2012,Italy,Kilogram,"37,358,123",
Fungicides and bactericides,2017,Spain,Kilogram,"37,982,029",
Fungicides and bactericides,2018,Spain,Kilogram,"38,067,058",
Fungicides and bactericides,2014,Spain,Kilogram,"38,379,663",d
Fungicides and bactericides,2016,Spain,Kilogram,"38,905,110",
Fungicides and bactericides,2018,France,Kilogram,"39,086,666",
Fungicides and bactericides,2015,Italy,Kilogram,"39,186,665",
Fungicides and bactericides,2011,Italy,Kilogram,"43,574,469",
Fungicides and bactericides,2011,Bulgaria,Kilogram,0,cd
Fungicides and bactericides,2011,Croatia,Kilogram,0,
Fungicides and bactericides,2011,Iceland,Kilogram,0,
Fungicides and bactericides,2011,Turkey,Kilogram,0,
Fungicides and bactericides,2012,Croatia,Kilogram,0,
Fungicides and bactericides,2012,Iceland,Kilogram,0,
Fungicides and bactericides,2012,Turkey,Kilogram,0,
Fungicides and bactericides,2013,Luxembourg,Kilogram,0,cd
Fungicides and bactericides,2013,Iceland,Kilogram,0,
Fungicides and bactericides,2013,Turkey,Kilogram,0,
Fungicides and bactericides,2014,Luxembourg,Kilogram,0,cd
Fungicides and bactericides,2014,Iceland,Kilogram,0,
Fungicides and bactericides,2014,Turkey,Kilogram,0,
Fungicides and bactericides,2015,Luxembourg,Kilogram,0,cd
Fungicides and bactericides,2015,Turkey,Kilogram,0,
Fungicides and bactericides,2016,Luxembourg,Kilogram,0,c
Fungicides and bactericides,2017,Luxembourg,Kilogram,0,c
Fungicides and bactericides,2018,Luxembourg,Kilogram,0,c
Fungicides and bactericides,2019,Luxembourg,Kilogram,0,
"Herbicides, haulm destructors and moss killers",2011,Bulgaria,Kilogram,0,cd
"Herbicides, haulm destructors and moss killers",2011,Croatia,Kilogram,0,
"Herbicides, haulm destructors and moss killers",2011,Iceland,Kilogram,0,
"Herbicides, haulm destructors and moss killers",2011,Turkey,Kilogram,0,
"Herbicides, haulm destructors and moss killers",2012,Croatia,Kilogram,0,
"Herbicides, haulm destructors and moss killers",2012,Iceland,Kilogram,0,
"Herbicides, haulm destructors and moss killers",2012,Turkey,Kilogram,0,
"Herbicides, haulm destructors and moss killers",2013,Iceland,Kilogram,0,
"Herbicides, haulm destructors and moss killers",2013,Turkey,Kilogram,0,
"Herbicides, haulm destructors and moss killers",2014,Iceland,Kilogram,0,
"Herbicides, haulm destructors and moss killers",2014,Turkey,Kilogram,0,
"Herbicides, haulm destructors and moss killers",2015,Turkey,Kilogram,0,
"Herbicides, haulm destructors and moss killers",2019,Luxembourg,Kilogram,0,
Insecticides and acaricides,2011,Bulgaria,Kilogram,0,cd
Insecticides and acaricides,2011,Croatia,Kilogram,0,
Insecticides and acaricides,2011,Luxembourg,Kilogram,0,cd
Insecticides and acaricides,2011,Iceland,Kilogram,0,
Insecticides and acaricides,2011,Turkey,Kilogram,0,
Insecticides and acaricides,2012,Croatia,Kilogram,0,
Insecticides and acaricides,2012,Luxembourg,Kilogram,0,cd
Insecticides and acaricides,2012,Iceland,Kilogram,0,
Insecticides and acaricides,2012,Turkey,Kilogram,0,
Insecticides and acaricides,2013,Luxembourg,Kilogram,0,cd
Insecticides and acaricides,2013,Iceland,Kilogram,0,
Insecticides and acaricides,2013,Turkey,Kilogram,0,
Insecticides and acaricides,2014,Luxembourg,Kilogram,0,cd
Insecticides and acaricides,2014,Iceland,Kilogram,0,
Insecticides and acaricides,2014,Turkey,Kilogram,0,
Insecticides and acaricides,2015,Luxembourg,Kilogram,0,cd
Insecticides and acaricides,2015,Turkey,Kilogram,0,
Insecticides and acaricides,2016,Estonia,Kilogram,0,c
Insecticides and acaricides,2016,Luxembourg,Kilogram,0,c
Insecticides and acaricides,2017,Luxembourg,Kilogram,0,c
Insecticides and acaricides,2018,Luxembourg,Kilogram,0,c
Insecticides and acaricides,2019,Luxembourg,Kilogram,0,
Molluscicides,2011,Bulgaria,Kilogram,0,
Molluscicides,2011,Estonia,Kilogram,0,cd
Molluscicides,2011,Greece,Kilogram,0,cd
Molluscicides,2011,Croatia,Kilogram,0,
Molluscicides,2011,Latvia,Kilogram,0,
Molluscicides,2011,Finland,Kilogram,0,cd
Molluscicides,2011,Iceland,Kilogram,0,
Molluscicides,2011,Turkey,Kilogram,0,
Molluscicides,2012,Bulgaria,Kilogram,0,
Molluscicides,2012,Estonia,Kilogram,0,cd
Molluscicides,2012,Croatia,Kilogram,0,
Molluscicides,2012,Latvia,Kilogram,0,
Molluscicides,2012,Finland,Kilogram,0,cd
Molluscicides,2012,Iceland,Kilogram,0,
Molluscicides,2012,Turkey,Kilogram,0,
Molluscicides,2013,Bulgaria,Kilogram,0,
Molluscicides,2013,Estonia,Kilogram,0,cd
Molluscicides,2013,Slovakia,Kilogram,0,cd
Molluscicides,2013,Finland,Kilogram,0,cd
Molluscicides,2013,Iceland,Kilogram,0,
Molluscicides,2013,Turkey,Kilogram,0,
Molluscicides,2014,Bulgaria,Kilogram,0,
Molluscicides,2014,Estonia,Kilogram,0,cd
Molluscicides,2014,Slovakia,Kilogram,0,cd
Molluscicides,2014,Finland,Kilogram,0,cd
Molluscicides,2014,Iceland,Kilogram,0,
Molluscicides,2014,Turkey,Kilogram,0,
Molluscicides,2015,Estonia,Kilogram,0,cd
Molluscicides,2015,Hungary,Kilogram,0,cd
Molluscicides,2015,Poland,Kilogram,0,c
Molluscicides,2015,Slovakia,Kilogram,0,cd
Molluscicides,2015,Finland,Kilogram,0,cd
Molluscicides,2015,United Kingdom,Kilogram,0,cd
Molluscicides,2015,Turkey,Kilogram,0,
Molluscicides,2016,Bulgaria,Kilogram,0,
Molluscicides,2016,Lithuania,Kilogram,0,c
Molluscicides,2016,Poland,Kilogram,0,c
Molluscicides,2016,Sweden,Kilogram,0,c
Molluscicides,2016,United Kingdom,Kilogram,0,c
Molluscicides,2017,Bulgaria,Kilogram,0,
Molluscicides,2017,Estonia,Kilogram,0,c
Molluscicides,2017,Lithuania,Kilogram,0,c
Molluscicides,2017,Slovakia,Kilogram,0,c
Molluscicides,2017,Sweden,Kilogram,0,c
Molluscicides,2017,United Kingdom,Kilogram,0,c
Molluscicides,2018,Bulgaria,Kilogram,0,c
Molluscicides,2018,Estonia,Kilogram,0,c
Molluscicides,2018,Spain,Kilogram,0,c
Molluscicides,2018,Lithuania,Kilogram,0,c
Molluscicides,2018,Poland,Kilogram,0,c
Molluscicides,2018,Sweden,Kilogram,0,c
Molluscicides,2018,United Kingdom,Kilogram,0,c
Molluscicides,2019,Bulgaria,Kilogram,0,c
Molluscicides,2019,Estonia,Kilogram,0,c
Molluscicides,2019,Lithuania,Kilogram,0,c
Molluscicides,2019,Luxembourg,Kilogram,0,
Molluscicides,2019,Slovakia,Kilogram,0,c
Molluscicides,2019,United Kingdom,Kilogram,0,c
Plant growth regulators,2011,Bulgaria,Kilogram,0,cd
Plant growth regulators,2011,Croatia,Kilogram,0,
Plant growth regulators,2011,Luxembourg,Kilogram,0,cd
Plant growth regulators,2011,Iceland,Kilogram,0,
Plant growth regulators,2011,Turkey,Kilogram,0,
Plant growth regulators,2012,Bulgaria,Kilogram,0,
Plant growth regulators,2012,Croatia,Kilogram,0,
Plant growth regulators,2012,Luxembourg,Kilogram,0,cd
Plant growth regulators,2012,Iceland,Kilogram,0,
Plant growth regulators,2012,Turkey,Kilogram,0,
Plant growth regulators,2013,Bulgaria,Kilogram,0,
Plant growth regulators,2013,Luxembourg,Kilogram,0,cd
Plant growth regulators,2013,Iceland,Kilogram,0,
Plant growth regulators,2013,Turkey,Kilogram,0,
Plant growth regulators,2014,Bulgaria,Kilogram,0,
Plant growth regulators,2014,Luxembourg,Kilogram,0,cd
Plant growth regulators,2014,Iceland,Kilogram,0,
Plant growth regulators,2014,Turkey,Kilogram,0,
Plant growth regulators,2015,Estonia,Kilogram,0,cd
Plant growth regulators,2015,Turkey,Kilogram,0,
Plant growth regulators,2016,Bulgaria,Kilogram,0,
Plant growth regulators,2016,Estonia,Kilogram,0,c
Plant growth regulators,2016,United Kingdom,Kilogram,0,c
Plant growth regulators,2017,United Kingdom,Kilogram,0,c
Plant growth regulators,2018,United Kingdom,Kilogram,0,c
Plant growth regulators,2019,Luxembourg,Kilogram,0,
Plant growth regulators,2019,United Kingdom,Kilogram,0,c
Other plant protection products,2011,Bulgaria,Kilogram,0,
Other plant protection products,2011,Estonia,Kilogram,0,cd
Other plant protection products,2011,Croatia,Kilogram,0,
Other plant protection products,2011,Lithuania,Kilogram,0,c
Other plant protection products,2011,Luxembourg,Kilogram,0,cd
Other plant protection products,2011,Malta,Kilogram,0,c
Other plant protection products,2011,Iceland,Kilogram,0,
Other plant protection products,2011,Turkey,Kilogram,0,
Other plant protection products,2012,Bulgaria,Kilogram,0,
Other plant protection products,2012,Estonia,Kilogram,0,cd
Other plant protection products,2012,Croatia,Kilogram,0,
Other plant protection products,2012,Lithuania,Kilogram,0,c
Other plant protection products,2012,Luxembourg,Kilogram,0,cd
Other plant protection products,2012,Malta,Kilogram,0,c
Other plant protection products,2012,Iceland,Kilogram,0,
Other plant protection products,2012,Turkey,Kilogram,0,
Other plant protection products,2013,Bulgaria,Kilogram,0,
Other plant protection products,2013,Estonia,Kilogram,0,cd
Other plant protection products,2013,Lithuania,Kilogram,0,c
Other plant protection products,2013,Luxembourg,Kilogram,0,cd
Other plant protection products,2013,Malta,Kilogram,0,c
Other plant protection products,2013,Iceland,Kilogram,0,
Other plant protection products,2013,United Kingdom,Kilogram,0,cd
Other plant protection products,2013,Turkey,Kilogram,0,
Other plant protection products,2014,Bulgaria,Kilogram,0,
Other plant protection products,2014,Estonia,Kilogram,0,cd
Other plant protection products,2014,Lithuania,Kilogram,0,c
Other plant protection products,2014,Luxembourg,Kilogram,0,cd
Other plant protection products,2014,Malta,Kilogram,0,c
Other plant protection products,2014,Iceland,Kilogram,0,
Other plant protection products,2014,United Kingdom,Kilogram,0,cd
Other plant protection products,2014,Turkey,Kilogram,0,
Other plant protection products,2015,Bulgaria,Kilogram,0,
Other plant protection products,2015,Estonia,Kilogram,0,cd
Other plant protection products,2015,Cyprus,Kilogram,0,c
Other plant protection products,2015,Lithuania,Kilogram,0,c
Other plant protection products,2015,Luxembourg,Kilogram,0,cd
Other plant protection products,2015,Malta,Kilogram,0,c
Other plant protection products,2015,United Kingdom,Kilogram,0,cd
Other plant protection products,2015,Turkey,Kilogram,0,
Other plant protection products,2016,Bulgaria,Kilogram,0,c
Other plant protection products,2016,Estonia,Kilogram,0,c
Other plant protection products,2016,Cyprus,Kilogram,0,c
Other plant protection products,2016,Lithuania,Kilogram,0,c
Other plant protection products,2016,Luxembourg,Kilogram,0,c
Other plant protection products,2016,Malta,Kilogram,0,c
Other plant protection products,2016,United Kingdom,Kilogram,0,c
Other plant protection products,2017,Bulgaria,Kilogram,0,c
Other plant protection products,2017,Estonia,Kilogram,0,c
Other plant protection products,2017,Cyprus,Kilogram,0,c
Other plant protection products,2017,Lithuania,Kilogram,0,c
Other plant protection products,2017,Luxembourg,Kilogram,0,c
Other plant protection products,2017,Malta,Kilogram,0,c
Other plant protection products,2017,Sweden,Kilogram,0,c
Other plant protection products,2018,Estonia,Kilogram,0,c
Other plant protection products,2018,Spain,Kilogram,0,c
Other plant protection products,2018,Lithuania,Kilogram,0,c
Other plant protection products,2018,Luxembourg,Kilogram,0,c
Other plant protection products,2018,Malta,Kilogram,0,c
Other plant protection products,2018,United Kingdom,Kilogram,0,c
Other plant protection products,2019,Estonia,Kilogram,0,c
Other plant protection products,2019,Lithuania,Kilogram,0,c
Other plant protection products,2019,Luxembourg,Kilogram,0,
Other plant protection products,2019,Malta,Kilogram,0,c
