"01-01-2016",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,9,8,8,13,19
"02-01-2016",11,2,2,1,1,1,2,3,12,11,3,1,1,1,1,1,1,2,7,6,8,13,14,8
"03-01-2016",11,6,4,4,4,9,3,3,7,6,6,6,3,3,3,3,2,2,1,1,2,5,5,1
"04-01-2016",1,1,1,1,1,1,2,4,10,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1
"05-01-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,4,2,1,1,1,1
"06-01-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"07-01-2016",1,1,1,1,1,1,1,1,1,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1
"08-01-2016",1,1,1,1,1,1,10,8,21,11,3,1,1,1,1,1,2,5,11,27,19,17,15,13
"09-01-2016",7,3,3,2,4,5,7,19,30,13,6,3,2,1,1,1,3,11,22,22,8,5,2,2
"10-01-2016",2,2,2,1,1,1,1,1,2,5,3,3,3,2,2,4,3,1,2,6,3,4,2,2
"11-01-2016",1,1,1,1,1,1,2,5,15,15,8,2,2,1,1,1,1,1,1,3,2,1,1,1
"12-01-2016",1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13-01-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,3,2,7,9,7,5
"14-01-2016",1,1,1,1,1,3,3,27,15,17,4,2,1,1,1,1,1,1,2,2,1,1,3,2
"15-01-2016",1,1,1,1,1,1,14,5,7,5,8,3,4,1,1,1,1,1,1,1,1,1,1,1
"16-01-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17-01-2016",1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,2,2,3,1,1,1,1,1,1
"18-01-2016",1,1,1,1,1,1,2,1,3,3,1,2,3,2,3,3,1,1,2,2,2,3,1,1
"19-01-2016",2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,3,4,5,2,3,2,2
"20-01-2016",2,1,2,1,1,1,1,1,2,2,3,3,-9999,-9999,4,4,4,5,2,4,2,3,2,1
"21-01-2016",1,1,1,1,1,1,3,6,19,15,3,1,1,1,1,1,2,4,4,7,22,22,25,14
"22-01-2016",10,3,6,7,3,14,9,31,41,12,11,10,1,2,1,1,1,1,2,2,1,1,1,1
"23-01-2016",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2
"24-01-2016",2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,6,13,9,5,7,7
"25-01-2016",6,3,2,1,1,2,2,4,12,7,9,5,2,3,1,2,1,2,3,4,4,9,13,20
"26-01-2016",11,9,4,2,3,17,11,38,40,17,7,7,3,3,2,4,2,2,3,2,5,3,4,11
"27-01-2016",8,5,2,2,1,4,5,37,75,41,5,1,2,1,1,1,2,2,3,46,61,33,36,44
"28-01-2016",45,31,9,13,10,11,18,43,89,27,10,3,2,1,1,1,1,8,32,51,44,45,12,13
"29-01-2016",14,11,8,7,11,12,21,46,40,38,12,4,2,1,2,2,3,2,8,22,18,33,39,11
"30-01-2016",7,8,6,2,2,1,10,3,5,15,2,1,1,1,1,1,1,4,9,12,6,12,9,5
"31-01-2016",4,4,3,2,2,2,3,5,11,11,4,2,1,1,1,1,1,11,18,11,10,5,5,3
"01-02-2016",3,2,2,1,1,5,20,49,58,14,4,1,1,1,1,1,1,1,4,30,89,42,39,5
"02-02-2016",5,3,7,7,6,4,27,20,62,23,5,3,2,1,1,1,1,3,8,46,36,78,27,9
"03-02-2016",6,17,4,3,9,14,24,30,56,14,10,4,2,2,1,1,1,1,16,24,26,6,4,2
"04-02-2016",2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"05-02-2016",1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1
"06-02-2016",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,6,10,3,9,16,11
"07-02-2016",7,11,3,2,1,6,4,7,8,3,2,1,1,1,1,1,1,2,2,3,4,5,2,1
"08-02-2016",3,8,5,2,2,3,9,26,30,8,4,3,2,1,1,1,1,4,7,7,3,5,34,21
"09-02-2016",23,14,4,2,3,7,5,15,20,12,12,3,2,1,1,1,1,4,12,10,15,55,45,21
"10-02-2016",5,4,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11-02-2016",1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1
"12-02-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13-02-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14-02-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,1,-9999,1,1,1,1,1,1,1,1,1
"15-02-2016",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16-02-2016",1,1,1,1,1,1,1,2,3,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2
"17-02-2016",1,2,2,2,3,3,3,21,25,39,7,4,3,1,1,1,1,3,17,13,6,10,3,2
"18-02-2016",5,4,2,2,3,7,5,25,10,2,2,1,1,1,1,1,1,2,1,2,3,2,1,1
"19-02-2016",1,1,2,1,1,1,2,16,26,4,2,1,1,1,1,1,1,1,3,3,2,2,3,2
"20-02-2016",2,3,3,2,3,3,2,8,8,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"21-02-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,3,5,3,4
"22-02-2016",2,-9999,1,2,3,6,18,25,16,9,5,3,1,1,1,2,1,1,2,2,8,5,6,3
"23-02-2016",5,2,3,2,2,3,17,40,30,6,2,1,1,1,1,1,2,1,5,14,7,5,10,5
"24-02-2016",2,5,1,1,1,3,1,5,10,11,6,3,3,3,1,1,1,2,5,6,5,12,10,4
"25-02-2016",7,8,6,8,4,4,19,65,37,10,5,-9999,-9999,1,1,1,1,2,2,2,1,2,2,2
"26-02-2016",1,1,2,1,2,2,5,8,22,7,2,2,1,1,1,1,1,2,1,2,1,3,1,1
"27-02-2016",1,1,1,1,1,2,2,3,4,4,1,1,1,1,1,1,1,1,1,1,1,2,1,5
"28-02-2016",2,1,2,2,1,1,2,5,4,3,2,1,2,1,1,1,1,1,1,1,1,1,2,1
"29-02-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"01-03-2016",1,1,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1
"02-03-2016",1,1,1,1,1,1,1,8,16,4,1,1,1,1,1,1,1,1,2,4,3,5,3,3
"03-03-2016",3,1,1,2,2,8,14,21,17,8,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"04-03-2016",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,1
"05-03-2016",1,2,1,1,1,1,2,7,5,3,1,2,2,1,1,1,1,1,1,6,4,3,3,3
"06-03-2016",3,2,1,1,1,1,1,3,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1
"07-03-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"08-03-2016",1,1,1,1,1,1,2,3,4,1,1,1,1,2,3,2,2,1,2,1,2,3,2,1
"09-03-2016",1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10-03-2016",2,1,1,1,1,1,1,2,10,5,1,1,1,1,2,1,1,1,1,1,1,1,1,2
"11-03-2016",1,1,1,1,1,1,1,8,13,3,2,2,1,1,1,1,1,1,1,1,1,2,3,4
"12-03-2016",2,1,1,1,1,2,2,3,7,10,4,2,2,1,2,1,1,2,2,3,2,2,2,2
"13-03-2016",2,2,2,1,1,1,2,3,3,2,2,1,1,2,2,2,1,1,2,2,1,2,1,1
"14-03-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
"15-03-2016",1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1
"16-03-2016",1,1,1,1,1,1,1,2,3,1,2,2,1,1,2,2,1,2,1,3,2,2,2,1
"17-03-2016",1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,3,3,8,7,4,3,2
"18-03-2016",2,2,2,1,1,1,5,15,5,4,2,3,3,3,1,2,2,2,2,2,2,3,1,1
"19-03-2016",1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,3,8,5,7,5,3
"20-03-2016",2,3,2,2,1,1,2,5,5,2,1,1,1,1,1,1,1,1,1,1,2,4,2,2
"21-03-2016",3,2,2,1,1,2,8,20,8,4,1,1,1,1,1,1,1,1,2,2,6,9,6,4
"22-03-2016",2,1,2,1,1,1,3,6,9,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"23-03-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24-03-2016",1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25-03-2016",1,1,1,1,1,1,1,3,1,2,2,3,2,1,1,1,1,1,2,2,2,2,6,4
"26-03-2016",1,2,1,1,1,1,3,6,5,2,1,1,1,1,1,1,1,4,3,3,2,1,1,1
"27-03-2016",2,1,2,1,1,1,4,6,4,3,1,1,1,1,1,1,1,2,2,2,3,2,1,1
"28-03-2016",1,1,1,1,1,9,25,21,-9999,5,3,1,1,1,1,1,1,1,1,3,4,7,7,7
"29-03-2016",4,3,4,3,2,5,5,10,21,6,3,2,1,1,1,1,1,1,1,1,2,4,10,3
"30-03-2016",2,2,1,3,2,2,10,9,17,8,2,1,1,1,1,1,1,1,1,1,1,1,2,3
"31-03-2016",3,1,2,1,1,1,4,17,14,6,2,-9999,-9999,-9999,1,1,1,1,1,1,1,2,2,1
"01-04-2016",1,1,1,1,1,3,6,33,34,9,2,1,1,1,1,1,1,1,1,1,1,2,2,1
"02-04-2016",1,1,1,1,1,1,1,11,8,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"03-04-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
"04-04-2016",2,2,1,1,1,2,1,30,14,2,2,1,1,1,1,1,1,1,1,1,1,3,1,1
"05-04-2016",1,1,1,1,1,1,6,39,23,8,3,1,1,2,1,1,1,1,1,1,3,1,1,2
"06-04-2016",1,1,1,2,1,2,9,13,14,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"07-04-2016",1,1,1,1,1,1,12,13,20,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1
"08-04-2016",1,1,1,1,1,1,2,6,10,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"09-04-2016",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10-04-2016",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11-04-2016",1,1,1,1,1,2,2,2,7,6,1,1,1,1,1,1,1,1,1,1,2,1,1,1
