gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2443771359	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.828664	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lapidarius		SPECIES	Bombus lapidarius (Linnaeus, 1758)	Bombus (Melanobombus) lapidarius lapidarius Linnaeus, 1758	Linnaeus, 1758	GR	Siliboves	Peloponnesos, Taygetosgebergte	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1960-08-07T00:00:00	7	8	1960	1340301	1340301	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.828664				CC0_1_0	Naturalis Biodiversity Center	V.v. Laar			2021-04-04T07:44:31.873Z		TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443769206	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.827039	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lapidarius		SPECIES	Bombus lapidarius (Linnaeus, 1758)	Bombus (Melanobombus) lapidarius lapidarius Linnaeus, 1758	Linnaeus, 1758	GR	Siliboves	Peloponnesos, Taygetosgebergte	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1960-08-07T00:00:00	7	8	1960	1340301	1340301	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.827039				CC0_1_0	Naturalis Biodiversity Center	V.v. Laar			2021-04-04T07:44:31.742Z		TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443767205	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.827056	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lapidarius		SPECIES	Bombus lapidarius (Linnaeus, 1758)	Bombus (Melanobombus) lapidarius lapidarius Linnaeus, 1758	Linnaeus, 1758	GR	Siliboves	Peloponnesos, Taygetosgebergte	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1960-08-07T00:00:00	7	8	1960	1340301	1340301	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.827056				CC0_1_0	Naturalis Biodiversity Center	V.v. Laar			2021-04-04T07:44:31.737Z		TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443767202	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.827029	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lapidarius		SPECIES	Bombus lapidarius (Linnaeus, 1758)	Bombus (Melanobombus) lapidarius lapidarius Linnaeus, 1758	Linnaeus, 1758	GR	Siliboves	Peloponnesos, Taygetosgebergte	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1960-08-07T00:00:00	7	8	1960	1340301	1340301	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.827029				CC0_1_0	Naturalis Biodiversity Center	V.v. Laar			2021-04-04T07:44:30.631Z		TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443765076	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.825892	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lapidarius		SPECIES	Bombus lapidarius (Linnaeus, 1758)	Bombus (Melanobombus) lapidarius lapidarius Linnaeus, 1758	Linnaeus, 1758	GR	2 km. S. Exohori (12 km E Kardamili)	Messinia	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1990-05-09T00:00:00	9	5	1990	1340301	1340301	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.825892				CC0_1_0	Naturalis Biodiversity Center	Leg. J.A.W.Lucas			2021-04-04T07:44:31.741Z		TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443764818	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.823304	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lapidarius		SPECIES	Bombus lapidarius (Linnaeus, 1758)	Bombus (Melanobombus) lapidarius lapidarius Linnaeus, 1758	Linnaeus, 1758	GR	Olympos, Spilios Agapitos	Makedonia	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1965-07-28T00:00:00	28	7	1965	1340301	1340301	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.823304				CC0_1_0	Naturalis Biodiversity Center	Blommers e.a.			2021-04-04T07:44:31.738Z		TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443757263	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.827687	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lapidarius		SPECIES	Bombus lapidarius (Linnaeus, 1758)	Bombus (Melanobombus) lapidarius lapidarius Linnaeus, 1758	Linnaeus, 1758	GR	Pangeo	Kavala	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1998-07-31T00:00:00	31	7	1998	1340301	1340301	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.827687				CC0_1_0	Naturalis Biodiversity Center	leg.M.DELNOYE			2021-04-04T07:44:30.591Z		TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443757082	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.825861	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lapidarius		SPECIES	Bombus lapidarius (Linnaeus, 1758)	Bombus (Melanobombus) lapidarius lapidarius Linnaeus, 1758	Linnaeus, 1758	GR	Panachaikon Oros 8 km of Patre	Achaea	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1975-07-11T00:00:00	11	7	1975	1340301	1340301	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.825861				CC0_1_0	Naturalis Biodiversity Center	J.P. Duffels			2021-04-04T07:44:30.588Z		TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443756830	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.823328	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lapidarius		SPECIES	Bombus lapidarius (Linnaeus, 1758)	Bombus (Melanobombus) lapidarius lapidarius Linnaeus, 1758	Linnaeus, 1758	GR	Olympos, Spilios Agapitos	Makedonia	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1965-07-28T00:00:00	28	7	1965	1340301	1340301	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.823328				CC0_1_0	Naturalis Biodiversity Center	Blommers e.a.			2021-04-04T07:44:30.584Z		TAXON_MATCH_HIGHERRANK;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443737131	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.805745	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lucorum	terrestriformis	SUBSPECIES	Bombus lucorum terrestriformis Vogt, 1911	Bombus (Bombus) lucorum terrestriformis Vogt, 1911	Vogt, 1911	GR	Langáda-ravijn, 5 km ESE Artemisia	Pelopónnisos, Messinia	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1976-11-08T00:00:00	8	11	1976	10977661	1340298	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.805745				CC0_1_0	Naturalis Biodiversity Center	A.C & W.N. Ellis			2021-04-04T07:44:31.735Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443737126	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.805691	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lucorum	terrestriformis	SUBSPECIES	Bombus lucorum terrestriformis Vogt, 1911	Bombus (Bombus) lucorum terrestriformis Vogt, 1911	Vogt, 1911	GR	Langáda-ravijn, 5 km ESE Artemisia	Pelopónnisos, Messinia	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1976-11-08T00:00:00	8	11	1976	10977661	1340298	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.805691				CC0_1_0	Naturalis Biodiversity Center	A.C & W.N. Ellis			2021-04-04T07:44:30.607Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443736090	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.805647	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lucorum	terrestriformis	SUBSPECIES	Bombus lucorum terrestriformis Vogt, 1911	Bombus (Bombus) lucorum terrestriformis Vogt, 1911	Vogt, 1911	GR	Olympos, EnipefsTal, Kataphygion	Northern Greece	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1957-07-13T00:00:00	13	7	1957	10977661	1340298	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.805647				CC0_1_0	Naturalis Biodiversity Center	F. Daniel leg.			2021-04-04T07:44:31.707Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443732880	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.803625	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus lucorum	terrestriformis	SUBSPECIES	Bombus lucorum terrestriformis Vogt, 1911	Bombus (Bombus) lucorum terrestriformis Vogt, 1911	Vogt, 1911	GR	Langáda-ravijn, 5 km ESE Artemisia	Pelopónnisos, Messinia	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1976-11-08T00:00:00	8	11	1976	10977661	1340298	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.803625				CC0_1_0	Naturalis Biodiversity Center	A.C & W.N. Ellis			2021-04-04T07:44:31.712Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443722780	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.792414	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris	lucoformis	SUBSPECIES	Bombus terrestris lucoformis Krüger, 1956	Bombus (Bombus) terrestris lucoformis Krüger, 1954	Krüger, 1954	GR	Kattavia	Rhodos	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1981-05-04T00:00:00	4	5	1981	11055608	1340503	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.792414				CC0_1_0	Naturalis Biodiversity Center	M.C. & G. Kruseman			2021-04-04T07:44:30.624Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443722779	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.792405	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris	lucoformis	SUBSPECIES	Bombus terrestris lucoformis Krüger, 1956	Bombus (Bombus) terrestris lucoformis Krüger, 1954	Krüger, 1954	GR	Agia Trias, Parnisgebergte bij Athene		PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1953-08-09T00:00:00	9	8	1953	11055608	1340503	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.792405				CC0_1_0	Naturalis Biodiversity Center	G.L. v. Eyndhoven			2021-04-04T07:44:31.696Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443722778	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.792397	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris	lucoformis	SUBSPECIES	Bombus terrestris lucoformis Krüger, 1956	Bombus (Bombus) terrestris lucoformis Krüger, 1954	Krüger, 1954	GR	Dassia, 5 km Z.O. v. Korakiana	Corfu	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1971-05-16T00:00:00	16	5	1971	11055608	1340503	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.792397				CC0_1_0	Naturalis Biodiversity Center	B. v. Aartsen			2021-04-04T07:44:31.696Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443722775	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.792360	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris	lucoformis	SUBSPECIES	Bombus terrestris lucoformis Krüger, 1956	Bombus (Bombus) terrestris lucoformis Krüger, 1954	Krüger, 1954	GR	Thasos	Thasos	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1963-07-09T00:00:00	9	7	1963	11055608	1340503	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.792360				CC0_1_0	Naturalis Biodiversity Center	S. Daan & V. v. Laar			2021-04-04T07:44:31.696Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443722774	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.792342	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris	lucoformis	SUBSPECIES	Bombus terrestris lucoformis Krüger, 1956	Bombus (Bombus) terrestris lucoformis Krüger, 1954	Krüger, 1954	GR	Langáda-ravijn, 5 km ESE Artemisia	Pelopónnisos, Messina	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1976-11-08T00:00:00	8	11	1976	11055608	1340503	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.792342				CC0_1_0	Naturalis Biodiversity Center	A.C & W.N. Ellis			2021-04-04T07:44:31.696Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443722773	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.792333	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris	lucoformis	SUBSPECIES	Bombus terrestris lucoformis Krüger, 1956	Bombus (Bombus) terrestris lucoformis Krüger, 1954	Krüger, 1954	GR	Siliboves	Peloponnesos, Taygetosgebergte	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1960-08-07T00:00:00	7	8	1960	11055608	1340503	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.792333				CC0_1_0	Naturalis Biodiversity Center	V. v. Laar			2021-04-04T07:44:30.624Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
2443722772	03f2256a-e548-43d7-a731-253302f4aa34	https://data.biodiversitydata.nl/naturalis/specimen/ZMA.INS.792324	Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Bombus	Bombus terrestris	lucoformis	SUBSPECIES	Bombus terrestris lucoformis Krüger, 1956	Bombus (Bombus) terrestris lucoformis Krüger, 1954	Krüger, 1954	GR	Thasos	Thasos	PRESENT	1	396d5f30-dea9-11db-8ab4-b8a03c50a862									1963-06-17T00:00:00	17	6	1963	11055608	1340503	PRESERVED_SPECIMEN		Hymenoptera	ZMA.INS.792324				CC0_1_0	Naturalis Biodiversity Center	S. Daan & V. v. Laar			2021-04-04T07:44:31.696Z		OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT;AMBIGUOUS_COLLECTION;INSTITUTION_MATCH_NONE
