Exp,Group,TotVOL1,SugCon1,SugAmount1,TotVOL2,SugCon2,SugAmount2,Flowers
1a,Silent,0.3125,15,0.048741406,0.09375,10.5,0.010040121,1
1b,Silent,15.0893,25,4.120472874,0.375,17,0.066921188,2
1b,High,6.5623,23,1.632152288,0.25,17,0.044614125,2
1b,Bee,11.05265,26,3.154713679,0.375,21.5,0.086533734,4
1b,Low,10.60975,29.5,3.496810475,0.375,22,0.08876775,3
1b,Silent,4.989,32.5,1.838823793,0.375,25,0.102402188,3
1b,Silent,10.6356,33,3.990227183,0.15625,25.5,0.04363041,3
1b,High,5.1167,31,1.78546479,0.125,20.5,0.027366203,2
1b,High,14.72105,36,6.115065286,0.1875,25,0.051201094,2
1b,Bee,8.50925,37,3.650778838,0.15625,26,0.044597813,2
1b,Bee,8.8231,33,3.310219777,0.125,25,0.034134063,1
1b,Low,6.152,19,1.239065092,0.28125,15,0.043867266,1
1b,Low,21.8526,27,6.509813056,0.09375,35,0.037675547,2
1b,Bee,12.83255,30,4.311865126,0.3125,14,0.045283125,1
1b,Bee,16.0756,27,4.788864975,0.65625,17.5,0.120848848,2
1b,High,12.94945,23,3.220741881,0.5625,15,0.087734531,1
1b,High,15.44385,23,3.841140319,0.09375,17,0.016730297,2
1b,Silent,18.82965,21,4.233441965,0.53125,12,0.065409625,2
1b,Silent,17.8283,24,4.650262459,0.4375,20,0.09321375,1
1b,Low,10.44675,25,2.852720139,0.8125,19,0.163644406,1
1b,Low,19.59045,30,6.582587105,0.1875,18,0.035601375,3
1b,High,11.8991,38,5.268850085,0.1875,21.5,0.043266867,1
1b,High,9.84895,34.5,3.891858144,0.15625,17,0.027883828,1
1b,High,6.2471,23,1.553756847,0.1875,20,0.03994875,1
1b,High,5.1493,16.5,0.889755915,0.15625,16.5,0.026998691,1
1b,Bee,7.25115,24,1.891360961,0.125,20,0.0266325,2
1b,Bee,6.99575,30,2.350641958,0.28125,30,0.094502813,1
1b,Bee,9.4182,28,2.924200409,0.375,25.5,0.104712984,1
1b,Bee,10.83255,27,3.226978731,0.125,24,0.0326045,3
1b,Silent,10.2334,23,2.545215431,0.15625,22,0.036986563,1
1b,Silent,21.05515,29,6.804782346,0.15625,24,0.040755625,1
1b,Low,15.0077,30,5.042737277,0.375,15.5,0.060581109,2
1b,Low,7.71855,33.5,2.946993525,0.09375,30,0.031500938,1
1b,Low,9.5758,33.5,3.65610388,0.15625,26.5,0.045569785,1
1b,Low,9.4508,30,3.175563308,0.09375,29,0.030298922,1
1b,Low,8.97935,30.5,3.07510973,0.21875,23,0.054406734,1
1b,Low,16.79165,28,5.213538659,0.28125,20.5,0.061573957,2
1b,Silent,12.18305,29,3.937421655,0.15625,16.5,0.026998691,1
1b,Silent,10.73475,24.5,2.865530139,0.25,16.5,0.043197906,1
1b,Bee,7.99845,25.5,2.233444186,0.21875,15,0.034118984,1
1b,Bee,9.62615,33,3.611505265,0.125,18,0.02373425,1
1b,High,10.39235,15,1.62092081,0.25,17,0.044614125,1
1b,High,7.7525,28,2.40702721,0.1875,25,0.051201094,1
1b,Bee,7.56635,27,2.253989183,0.4375,30,0.147004375,1
1b,Bee,16.1572,30,5.428980772,0.21875,23,0.054406734,1
1b,Silent,9.98475,24.5,2.665325421,0.1875,20.5,0.041049305,1
1b,Silent,9.1628,19,1.845465804,0.3125,13,0.041861406,1
1b,Low,11.04995,21,2.484343684,0.15625,20,0.033290625,2
1b,Low,16.48455,23.5,4.199630745,0.125,20,0.0266325,1
1b,High,0.9701,25,0.264907632,0.25,15,0.038993125,1
1b,High,2.10185,14,0.304570676,0.09375,13,0.012558422,1
1b,High,7.9101,26,2.257748203,0.3125,22,0.073973125,1
1b,Bee,12.43305,28,3.860263096,0.1875,25,0.051201094,2
1b,Bee,7.0922,24,1.849901079,0.28125,22,0.066575813,2
1b,Silent,19.3717,10.5,2.074604947,0.1875,10,0.019089375,1
1b,Silent,15.8881,28,4.93300084,0.09375,17,0.016730297,2
1b,Low,9.4807,28,2.943605659,0.46875,20,0.099871875,1
1b,Silent,15.44655,25.5,4.313211597,0.125,21,0.028103563,1
1b,Silent,7.8775,21,1.771086509,0.21875,13.5,0.030497387,1
1b,Silent,8.06365,29,2.606078948,0.40625,20,0.086555625,1
1b,Bee,17.2006,31.5,6.114153227,0.1875,15.5,0.030290555,1
